"coefficient"	"remark"	"taskid"	"parentId"	"date"	"QCStateLabel"	"Id"	"project"	"performedby"	"Description"	"account"	"enddate"	"requestid"
"0.0390625"	""	""	""	"2010-12-05 09:26:40.0"	"Completed"	"test3804589"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test4551032"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test5904521"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test4564246"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test6390238"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3997535"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test2008446"	""	""	""	""	""	""
"0.025390625"	""	""	""	"2011-06-24 13:30:57.0"	"Completed"	"test499022"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test5171727"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test2950014"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test4710248"	""	""	""	""	""	""
"0.09716796875"	""	""	""	"2011-06-24 13:30:57.0"	"Completed"	"test3935154"	""	""	""	""	""	""
"0.05078125"	""	""	""	"2011-06-24 13:30:57.0"	"Completed"	"test4013108"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test5292692"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test2227135"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test4935165"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3843301"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test8533200"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test7407382"	""	""	""	""	""	""
"0.00390625"	""	""	""	"2011-06-24 13:30:57.0"	"Completed"	"test5598475"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test1684145"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test4945025"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3137998"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test7151371"	""	""	""	""	""	""
"0.015625"	""	""	""	"2011-06-24 13:30:57.0"	"Completed"	"test5158984"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test5131891"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test5409620"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test9118022"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3771679"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test4037096"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test1441142"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test1099252"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test1020148"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test1112911"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test727088"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3224553"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3621582"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test6700530"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test6208376"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test9195996"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test8976544"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test3844307"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test2312318"	""	""	""	""	""	""
"0.0"	""	""	""	"2011-05-31 15:21:05.0"	"Completed"	"test1993532"	""	""	""	""	""	""
